created_date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,extract_date,Latitude,Longitude,Rua,Bairro
2018-03-27,1600000.0,115,1,3,3,2024-11-25,-23.53796505,-46.67124372854936,Não Informado,Sumaré
2021-02-08,2850000.0,185,1,3,3,2024-11-25,-23.59833765,-46.6754799,Rua Helion Póvoa 155,Vila Olímpia
2018-03-27,2300000.0,138,1,3,3,2024-11-25,-23.602158724049,-46.66677758539444,Avenida Jacutinga,Indianópolis
2018-03-27,1350000.0,782,1,3,4,2024-11-25,-23.586076727531747,-46.67634761829571,Rua Urussuí 110,Itaim Bibi
2018-03-27,1590000.0,244,1,3,6,2024-11-25,-23.63319031289507,-46.73521746910107,Rua Nelson Gama de Oliveira,Vila Andrade
2018-03-27,8900000.0,440,1,3,4,2024-11-25,-23.0503416,-47.8327759,Não Informado,Vila Nova Conceição
2018-04-04,3750000.0,200,1,3,4,2024-11-25,-23.5761919963882,-46.64798103698969,Rua Carlos Steinen,Paraíso
2018-03-27,2900000.0,232,1,3,4,2024-11-25,-23.66410432969318,-46.67859139903118,Avenida Interlagos 1300,Jardim Marajoara
2018-03-27,2100000.0,289,1,3,4,2024-11-25,-23.6133146,-46.66417654048208,Alameda dos Anapurus 1790,Indianópolis
2020-10-02,455000.0,38,1,11,1,2024-11-25,-23.565391682624437,-46.64271009090827,Rua Martiniano de Carvalho,Bela Vista
2018-03-27,415000.0,53,1,4,1,2024-11-25,-23.53815860607776,-46.67660299115147,Rua Campevas,Perdizes
2021-05-18,1650000.0,143,1,4,2,2024-11-25,-23.5963139,-46.6074096,Rua Xavier de Almeida 1135,Ipiranga
2018-03-27,1370000.0,82,1,4,2,2024-11-25,-23.60263425,-46.680217,Rua Alvorada 1242,Vila Olímpia
2018-03-27,1750000.0,164,1,4,3,2024-11-25,-23.607074851682544,-46.61772878735191,Rua Assungui,Vila Gumercindo
2021-05-18,2590000.0,188,1,6,3,2024-11-25,-23.5767467,-46.6041357,Rua Tabor 647,Ipiranga
2021-05-18,1380000.0,117,1,5,3,2024-11-25,-23.6150298,-46.63395711280033,Rua Doutor Nogueira Martins 325,Saúde
2021-05-18,1430000.0,111,1,4,3,2024-11-25,-23.621659514712107,-46.615793471929294,Rua do Boqueirão 305,Saúde
2021-06-04,2780000.0,384,1,4,7,2024-11-25,-23.594975584840984,-46.69179270532023,Avenida Doutor Cardoso de Melo,Vila Olímpia
2018-03-27,15900000.0,384,1,4,7,2024-11-25,-23.594975584840984,-46.69179270532023,Avenida Doutor Cardoso de Melo,Vila Olímpia
2018-03-27,3723000.0,260,1,4,4,2024-11-25,-23.45881306653005,-46.61846158129951,Rua Pedro,Vila Albertina
2021-10-28,6500000.0,304,1,5,5,2024-11-25,-23.625687,-46.7269894,Não Informado,Vila Andrade
2018-03-31,6400000.0,144,1,10,4,2024-11-25,-23.58711007508049,-46.68561494244701,Rua Salvador Cardoso,Itaim Bibi
2018-03-27,8970000.0,240,1,4,4,2024-11-25,-23.54139086269906,-46.66025542580008,Avenida Higienópolis,Higienópolis
2022-12-06,1602317.3015935991,327,1,6,4,2024-11-25,-23.55004093787428,-46.70829378514144,Avenida Diógenes Ribeiro de Lima,Alto de Pinheiros
2018-03-27,430000.0,53,2,1,1,2024-11-25,-23.514986806989707,-46.60883744120894,Rua João Ventura Batista 238,Vila Guilherme
2018-03-27,258160.0,50,2,1,1,2024-11-25,-23.54228368289494,-46.45834563669591,Avenida Itaquera 100,Vila Carmosina
2024-03-19,360000.0,61,2,1,1,2024-11-25,-23.4741689,-46.6551173,Rua Franklin do Amaral 550,Vila Nova Cachoeirinha
2024-11-19,390000.0,60,2,1,1,2024-11-25,-23.627998582567283,-46.63616971269642,Rua Major Freire 122,Vila Monte Alegre
2024-03-19,360000.0,61,2,1,1,2024-11-25,-23.4741689,-46.6551173,Rua Franklin do Amaral 550,Vila Nova Cachoeirinha
2024-07-17,980000.0,58,2,1,2,2024-11-25,-23.56479675,-46.65968758767545,Alameda Franca 584,Jardim Paulista
2018-03-27,330000.0,57,2,1,2,2024-11-25,-23.48002990497076,-46.74552688700411,Rua Maria Lúcia Duarte,Vila Pirituba
2018-06-25,320000.0,60,2,1,2,2024-11-25,-23.48308367738547,-46.64602123417457,Rua Conselheiro Moreira de Barros 3600,Lauzane Paulista
2023-08-16,1700000.0,86,2,1,3,2024-11-25,-23.53803645,-46.682287487971486,Rua Aimberê 938,Perdizes
2018-03-27,1160000.0,83,2,1,3,2024-11-25,-23.49828815,-46.63602524477007,Rua Engenheiro Mac Lean 427,Santana
2018-03-27,400000.0,58,2,1,3,2024-11-25,-23.497383,-46.7491811,Não Informado,Jardim Santo Elias
2018-03-27,600000.0,60,2,1,3,2024-11-25,-23.1491477,-46.867894740933785,Não Informado,Sítio Pinheirinho
2018-03-27,1000000.0,225,3,1,3,2024-11-25,-23.597085,-46.6628884,Não Informado,Moema
2018-03-28,600000.0,63,2,1,3,2024-11-25,-23.57479834563116,-46.61495131735664,Rua Gaspar Fernandes,Vila Monumento
2018-03-27,370000.0,143,2,1,3,2024-11-25,-23.5659114,-46.61367950054397,Não Informado,Cambuci
2024-06-12,1602317.3015935991,152,2,1,3,2024-11-25,-23.478355176564268,-46.607679701286266,Rua Salvador Bicudo 116,Tucuruvi
2018-03-27,340000.0,50,2,1,50,2024-11-25,-23.506998932269106,-46.5816052332026,Rua Togo 501,Jardim Japão
2024-11-19,300000.0,50,2,2,1,2024-11-25,-23.53539556670296,-46.63159875714821,Rua Vinte e Cinco de Janeiro 151,Luz
