Created_Date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Neighborhood
2024,980000.0,58,2,1,2,-23.56479675,-46.65968758767545,Jardim Paulista
2018,330000.0,57,2,1,2,-23.48002990497076,-46.74552688700411,Vila Pirituba
2018,320000.0,60,2,1,2,-23.48308367738547,-46.64602123417457,Lauzane Paulista
2023,1700000.0,86,2,1,3,-23.53803645,-46.682287487971486,Perdizes
2018,1160000.0,83,2,1,3,-23.49828815,-46.63602524477007,Santana
2018,400000.0,58,2,1,3,-23.497383,-46.7491811,Jardim Santo Elias
2018,600000.0,60,2,1,3,-23.1491477,-46.867894740933785,Sítio Pinheirinho
2018,1000000.0,225,3,1,3,-23.597085,-46.6628884,Moema
2018,600000.0,63,2,1,3,-23.57479834563116,-46.61495131735664,Vila Monumento
2018,370000.0,143,2,1,3,-23.5659114,-46.61367950054397,Cambuci
2024,1602317.3015935991,152,2,1,3,-23.478355176564268,-46.607679701286266,Tucuruvi
2018,340000.0,50,2,1,50,-23.506998932269106,-46.5816052332026,Jardim Japão
2024,300000.0,50,2,2,1,-23.53539556670296,-46.63159875714821,Luz
2021,779843.0,57,2,2,1,-23.610165815668395,-46.64216431849309,Mirandópolis
2018,365000.0,53,2,2,1,-23.46831591033869,-46.57634386764863,Jardim Modelo
2018,367810.0,57,2,2,1,-23.466797035185436,-46.63195173462907,Parque Mandaqui
2021,1300000.0,71,2,2,2,-23.62779639609098,-46.68033268772035,Campo Belo
2021,1915000.0,100,2,2,2,-23.622231353646125,-46.66995399444336,Campo Belo
2018,461000.0,60,2,2,2,-23.6325369819107,-46.738946752520434,Vila Andrade
2022,480000.0,69,2,2,2,-23.63674591903339,-46.737134210900216,Vila Andrade
2018,798107.0,64,2,2,2,-23.58876005,-46.598058,Ipiranga
2022,625000.0,72,2,2,2,-23.6266995909751,-46.74256839909546,Vila Andrade
2018,819000.0,91,2,2,3,-23.62730925908938,-46.73733906995751,Vila Andrade
2019,2959990.0,122,2,2,3,-23.58041983459817,-46.67316656445519,Itaim Bibi
2018,330000.0,73,2,2,3,-23.619048090113985,-46.59917884972644,Sacomã
2022,545000.0,80,2,2,3,-23.630587699667142,-46.73644710153039,Vila Andrade
2018,714000.0,84,2,2,3,-23.53567727802248,-46.75658004242934,Jaguaré
2018,1150000.0,80,2,2,3,-23.630587699667142,-46.73644710153039,Vila Andrade
2023,850000.0,143,2,2,3,-23.567748633562463,-46.61236999349168,Cambuci
2018,1190000.0,235,2,2,4,-23.58201506044492,-46.67449954380559,Itaim Bibi
2019,530000.0,117,2,2,4,-23.5511201,-46.68047802102871,Pinheiros
2024,2400000.0,65,2,2,2,-23.71878873887665,-46.54656063036209,Centro
2023,1740000.0,45,2,2,48,-23.480248424390066,-46.67345672255118,Limão
2018,191000.0,63,2,2,6,-23.61256511871316,-46.63077546264822,Saúde
2018,2300000.0,102,2,3,1,-23.603067208480155,-46.67258698108234,Indianópolis
2018,1798000.0,105,2,3,1,-23.62019296678717,-46.66338345537896,Campo Belo
2024,1120000.0,110,2,3,1,-23.582322641275976,-46.67281884732042,Itaim Bibi
2021,2499000.0,97,2,3,1,-23.60038550534351,-46.6603136778626,Moema
2022,590000.0,87,2,3,1,-23.626363672531348,-46.74337263291787,Vila Andrade
2018,450000.0,59,2,3,1,-23.625783367596483,-46.7438839888422,Vila Andrade
2018,695829.0,82,2,3,1,-23.551840645280052,-46.61498915275421,Brás
2022,1897880.0,112,2,3,2,-23.579465084589025,-46.673280870640205,Itaim Bibi
2021,1430000.0,76,2,3,2,-23.60509875,-46.668789894329606,Moema
2021,1150000.0,102,2,3,2,-23.6208076,-46.6844333,Vila Cordeiro
2018,670000.0,88,2,3,2,-23.5309088,-46.66348984941352,Barra Funda
2018,730000.0,84,2,3,2,-23.626363672531348,-46.74337263291787,Vila Andrade
2018,710000.0,140,2,3,3,-23.5326819,-46.67449245422535,Perdizes
2018,1280000.0,83,2,3,3,-23.53567727802248,-46.75658004242934,Jaguaré
2018,1490000.0,110,2,3,3,-23.63398350242242,-46.7307212925704,Vila Andrade
2018,1200000.0,120,2,3,3,-23.48096015,-46.63845599581544,Lauzane Paulista
2018,16705000.0,278,2,3,5,-23.596647824810265,-46.679986393489926,Vila Olímpia
2018,847000.0,95,2,3,5,-23.626812761526065,-46.735383391364216,Morumbi
2018,390000.0,64,2,3,4,-23.6459168,-46.6675551,Vila Mascote
2018,1680000.0,105,2,4,1,-23.5702508,-46.6544989,Jardim Paulista
2018,3000000.0,246,2,4,1,-23.5451659,-46.65771600279243,Higienópolis
2018,1250000.0,99,2,4,1,-23.53446665,-46.66499098017718,Perdizes
2018,2500000.0,102,2,4,2,-23.60766753942898,-46.67028315727245,Indianópolis
2021,2570000.0,143,2,4,2,-23.606907222277737,-46.66727494493403,Moema
2018,1599000.0,111,2,4,2,-23.568068507692303,-46.62838157692308,Aclimação
2018,2200000.0,180,2,4,3,-23.53593546619565,-46.668749778173,Perdizes
2021,2500000.0,144,2,5,3,-23.61484685,-46.67356030846452,Campo Belo
2018,6300000.0,215,2,4,3,-23.57068436916,-46.65505561012951,Jardim Paulista
2022,1280000.0,167,2,4,3,-23.625687,-46.7269894,Vila Andrade
2018,1380000.0,126,2,4,3,-23.599884407391052,-46.619305864115525,Vila Firmiano Pinto
2023,1200000.0,167,2,4,3,-23.63398350242242,-46.7307212925704,Vila Andrade
2019,3490000.0,180,2,4,4,-23.55670089031135,-46.56718792679954,Jardim Anália Franco
2024,9800000.0,274,2,4,4,-23.618743991877132,-46.68137648440344,Campo Belo
2021,6900000.0,370,2,5,5,-23.62509795,-46.67639915,Campo Belo
2018,1269380.0,285,2,4,4,-23.58156735726488,-46.687273261823066,Jardim Europa
2022,1350000.0,450,2,5,4,-22.5672753,-47.4132936,Real Parque
2018,600000.0,120,2,5,4,-23.55790165,-46.560556178636105,Jardim Anália Franco
2018,1190000.0,200,2,5,4,-23.6074637,-46.6689221,Indianópolis
2022,500000.0,96,3,1,1,-23.598827550000003,-46.66293525,Moema
2024,420000.0,73,3,1,1,-23.60585865,-46.66771569826148,Moema
2022,340000.0,72,3,1,1,-23.5753574,-46.6138812,Vila Monumento
2018,286000.0,62,3,1,1,-23.48127106364479,-46.74178914611442,Vila Pirituba
2018,1602317.3015935991,68,3,1,1,-23.53873249691977,-46.44696960067412,Itaquera
2019,1700000.0,87,3,1,2,-23.58077537725328,-46.59043518962038,Vila Prudente
2018,1180000.0,166,3,1,2,-23.633089861163725,-46.69070998428428,Santo Amaro
2024,1650000.0,230,3,1,3,-23.5137228,-46.62600613655272,Santana
2021,2499000.0,67,3,1,3,-23.5823453,-46.58147905225461,Vila Prudente
2018,1400000.0,81,3,1,3,-23.49055460862165,-46.64633630590326,Imirim
2018,1602317.3015935991,81,3,1,3,-23.49055460862165,-46.64633630590326,Imirim
2022,3800000.0,215,3,1,4,-23.54642655,-46.68721750962963,Sumaré
2023,7000000.0,216,3,1,4,-23.58797578770983,-46.68383732798657,Itaim Bibi
2022,2950000.0,192,3,1,4,-23.618743991877132,-46.68137648440344,Campo Belo
2018,3800000.0,240,3,1,4,-23.623279040993022,-46.67382946935149,Campo Belo
2018,1085000.0,211,3,1,4,-7.87959695,-38.04814950098677,Canaã
2018,700000.0,87,3,2,1,-23.599884407391052,-46.619305864115525,Vila Firmiano Pinto
2021,375600.0,97,3,2,1,-23.532876590092837,-46.67342274375568,Perdizes
2024,350000.0,45,3,2,1,-23.59412832940592,-46.629931959198494,Vila Mariana
2018,1477563.0,63,3,2,1,-23.52186368285224,-46.64155419445446,Bom Retiro
2018,570000.0,87,3,2,1,-23.583911290291848,-46.642190373886194,Vila Mariana
2024,940000.0,100,3,2,2,-23.53461425512015,-46.67214774244812,Perdizes
2018,535000.0,61,3,2,2,-23.636001915256507,-46.73780430432569,Vila Andrade
2019,1160000.0,104,3,2,2,-23.591021108734058,-46.62270622090704,Jardim Vila Mariana
2021,2400000.0,172,3,2,3,-23.547772389550847,-46.56069593072895,Vila Gomes Cardim
2020,1400000.0,100,3,2,3,-23.5364715,-46.71661450306861,Alto da Lapa
